meter_id,selected_model,wape,mae,number_of_folds,selection_reason
M0001,sarimax,0.08744761983445337,0.4759310995744572,2,lowest_mean_wape
M0002,sarimax,0.09413563101533096,0.44288653847863796,2,lowest_mean_wape
M0003,seasonal_naive,0.11253261526475451,1.4594205553852588,2,lowest_mean_wape
M0004,sarimax,0.08215462856537464,1.4107228848277238,2,lowest_mean_wape
M0005,sarimax,0.07368192975198284,1.0719443380463918,2,lowest_mean_wape
M0006,sarimax,0.09172783392173316,0.5694105595918229,2,lowest_mean_wape
M0007,sarimax,0.09158826411433033,0.6284457547220244,2,lowest_mean_wape
M0008,seasonal_naive,0.07735719567238436,0.7543212613318795,2,lowest_mean_wape
M0009,sarimax,0.08069329007010964,0.8869501682708445,2,lowest_mean_wape
M0010,sarimax,0.08651262682066385,1.440175162779787,2,lowest_mean_wape
M0011,sarimax,0.09437156403488864,0.7901101046350067,2,lowest_mean_wape
M0012,sarimax,0.06042632366561833,0.31310185560661186,2,lowest_mean_wape
M0013,sarimax,0.04255086555065087,0.5755139311077655,2,lowest_mean_wape
M0014,seasonal_naive,0.08031856771149873,0.9649834241609025,2,lowest_mean_wape
M0015,sarimax,0.05346477676742324,0.5202567810834501,2,lowest_mean_wape
M0016,sarimax,0.11302930811700637,1.3044705034681168,2,lowest_mean_wape
M0017,sarimax,0.0516258594805334,0.39641823990265357,2,lowest_mean_wape
M0018,sarimax,0.06640904367753524,0.4195140961331212,2,lowest_mean_wape
M0019,sarimax,0.08860602226592179,1.4573440838522547,2,lowest_mean_wape
M0020,seasonal_naive,0.07383549579782651,1.170971164542708,2,lowest_mean_wape
M0021,sarimax,0.09510690261106074,0.8062362173183165,2,lowest_mean_wape
M0022,sarimax,0.12302883008728227,1.032756200115391,2,lowest_mean_wape
M0023,sarimax,0.03225054011656881,0.523811621418262,2,lowest_mean_wape
M0024,sarimax,0.027264112825254185,0.07641115243536187,2,lowest_mean_wape
M0025,sarimax,0.09091208465533296,0.29227868756742587,2,lowest_mean_wape
M0026,sarimax,0.0949065622296184,1.034032898095515,2,lowest_mean_wape
M0027,sarimax,0.0886233596756284,0.21420270118482976,2,lowest_mean_wape
M0028,seasonal_naive,0.05613316971030387,0.4525778755274864,2,lowest_mean_wape
M0029,weighted_baseline,0.11506026694822769,1.2138097785117812,2,lowest_mean_wape
M0030,sarimax,0.07230853299173491,0.3276484745438991,2,lowest_mean_wape
M0031,sarimax,0.06277712590447,1.4204548330661018,2,lowest_mean_wape
M0032,sarimax,0.06530755034185644,0.26285262304981344,2,lowest_mean_wape
M0033,holt_winters,0.22502534435813015,3.3759933277122682,2,lowest_mean_wape
